代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
  → +20日 均值=+68.26% 胜率=100.0% 最大=+71.68% 最小=+64.84%

============================================================
  002384.SZ  |  评分区间 63~66  |  均值 64.5  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260409      趋势确认    63  +10.00% +42.03% +66.86%   82.4  1.91
  20260410      趋势确认    66   +8.83% +30.00% +49.63%   87.5  2.70
  → +1日 均值= +6.32% 胜率=100.0% 最大=+10.98% 最小= +1.66%
  → +5日 均值=+15.92% 胜率=100.0% 最大=+22.52% 最小= +9.32%
  → +10日 均值=+36.02% 胜率=100.0% 最大=+42.03% 最小=+30.00%
  → +20日 均值=+58.25% 胜率=100.0% 最大=+66.86% 最小=+49.63%

============================================================
  002545.SZ  |  评分区间 57~57  |  均值 57.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260302      趋势确认    57   +9.99% -21.58% -27.73%   79.3  1.87

============================================================
  688700.SH  |  评分区间 52~52  |  均值 52.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260407      趋势确认    52   +8.68% +12.13% +13.16%   71.1  1.67

============================================================
  688008.SH  |  评分区间 52~59  |  均值 55.5  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260506      趋势确认    59  +14.82% +29.79% +28.56%   84.8  1.69
  20260617      趋势确认    52   +7.51%  +0.70%  +0.70%   69.0  1.44
  → +1日 均值= +5.90% 胜率=100.0% 最大= +7.71% 最小= +4.10%
  → +5日 均值=+15.96% 胜率=100.0% 最大=+31.23% 最小= +0.70%
  → +10日 均值=+15.24% 胜率=100.0% 最大=+29.79% 最小= +0.70%
  → +20日 均值=+14.63% 胜率=100.0% 最大=+28.56% 最小= +0.70%

============================================================
  002256.SZ  |  评分区间 48~48  |  均值 48.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260511      趋势确认    48   +4.55% -19.49% -27.69%   93.6  2.53

============================================================
  000657.SZ  |  评分区间 51~51  |  均值 51.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260611      趋势确认    51   +6.93% +23.91% +23.91%   73.0  1.44

============================================================
  300806.SZ  |  评分区间 62~62  |  均值 62.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260420      趋势确认    62   +4.76% +25.18% +31.94%   92.7  1.69

============================================================
  600186.SH  |  评分区间 56~56  |  均值 56.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260609      趋势确认    56  +10.01% +39.91% +28.25%   67.5  1.63

============================================================
  002354.SZ  |  评分区间 61~61  |  均值 61.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260610      趋势确认    61  +10.05%  +0.91%  +0.91%   81.0  1.60

============================================================
  600487.SH  |  评分区间 55~61  |  均值 58.7  |  严苛信号 3次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260420      趋势确认    55   +9.42% +29.87% +22.77%   75.2  1.31
  20260529      趋势确认    60   +9.42% +31.95% +47.28%   66.1  2.21
  20260604      趋势确认    61   +7.04% +25.14% +15.43%   86.4  1.35
  → +1日 均值= +6.82% 胜率= 66.7% 最大=+10.55% 最小= -0.55%
  → +5日 均值=+14.23% 胜率=100.0% 最大=+26.89% 最小= +1.04%
  → +10日 均值=+28.99% 胜率=100.0% 最大=+31.95% 最小=+25.14%
  → +20日 均值=+28.49% 胜率=100.0% 最大=+47.28% 最小=+15.43%

============================================================
