================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:20
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 191 只股票
累计交易日: 22906 天
严苛信号数: 635 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
600160.SH      20260615     20260616        11   +9.91%    46.06    +3.56%   +10.14%   +10.62%   +10.62%
300738.SZ      20260212     20260213         7   +5.22%    25.80    -7.75%    -1.98%    -3.84%   -18.88%
300738.SZ      20260408     20260409        14  +12.04%    22.55    -0.22%   +15.03%    +8.91%   +14.32%
300738.SZ      20260416     20260417        13  +10.85%    25.97    -6.47%    -7.59%    +3.66%    +2.93%
300738.SZ      20260506     20260507         9   +7.94%    27.30    -0.88%    -1.21%   -10.37%   -23.44%
300842.SZ      20260429     20260430         7   +5.38%    90.42    +5.18%    +5.25%    +6.95%    -9.44%
300842.SZ      20260506     20260507         6   +4.63%    95.10    -0.89%    -1.84%    -5.19%   -12.93%
300842.SZ      20260622     20260623         9   +7.18%    91.90    -4.56%    -6.67%    -6.67%    -6.67%
600770.SH      20260423     20260424        12  +10.07%     6.97    -0.14%   +20.23%   +14.20%    -8.90%
600770.SH      20260424     20260427        13   +9.94%     7.53    +1.73%    +8.50%    +1.20%   -13.68%
600770.SH      20260428     20260429        12  +10.06%     7.32    +4.10%   +12.98%    -3.96%   -15.98%
600770.SH      20260625     20260626         8   +5.72%     6.39    +6.73%    +6.73%    +6.73%    +6.73%
002028.SZ      20260601     20260602         9   +6.85%   214.19    -9.37%   -14.42%   -18.54%   -18.24%
688008.SH      20260413     20260414         8   +6.11%   157.50    -6.55%    +0.57%   +10.23%   +57.45%
688008.SH      20260427     20260428        10   +8.92%   172.70    -1.62%   +21.75%   +43.59%   +46.50%
688008.SH      20260506     20260507        17  +14.82%   201.99    +4.10%   +31.23%   +29.79%   +28.56%
688008.SH      20260617     20260618         9   +7.51%   260.00    +7.71%    +0.70%    +0.70%    +0.70%
002256.SZ      20260324     20260325         9   +7.51%     4.68    -6.20%   -14.10%   -19.02%    -4.70%
002256.SZ      20260414     20260415         9   +6.82%     4.26    -2.58%    +5.87%    +7.28%   +15.26%
002256.SZ      20260422     20260423        12  +10.00%     4.51    -1.33%    +1.77%   +16.63%    -2.00%
002256.SZ      20260508     20260511        11  +10.00%     5.53    -4.88%   -11.21%   -16.82%   -29.66%
002256.SZ      20260511     20260512         7   +4.55%     5.49    -4.92%    -9.84%   -19.49%   -27.69%
001339.SZ      20260310     20260311         8   +6.77%    77.82    -6.71%    -9.41%   -17.68%   -17.93%
001339.SZ      20260414     20260415         6   +4.48%    67.01    +8.42%   +10.48%   +34.04%   +59.27%
001339.SZ      20260416     20260417        10   +7.76%    71.82    -0.84%   +12.42%   +31.16%   +60.86%
001339.SZ      20260424     20260427        12  +10.00%    80.00   +10.00%   +26.00%   +29.63%   +33.29%
001339.SZ      20260617     20260618        12  +10.00%   118.41   +10.79%    +8.27%    +8.27%    +8.27%
000657.SZ      20260416     20260417        12  +10.00%    53.50    +9.42%    +3.14%   +15.87%    +3.14%
000657.SZ      20260417     20260420        10   +8.13%    57.16    +1.14%    -5.83%   +10.55%    -0.79%
000657.SZ      20260506     20260507         8   +6.53%    62.88    -3.83%    -6.09%    -9.81%   +18.21%
000657.SZ      20260526     20260527         7   +5.42%    68.80    +0.25%    +4.23%    +5.96%   +53.60%
000657.SZ      20260611     20260612         8   +6.93%    80.31    +8.21%   +34.89%   +23.91%   +23.91%
688378.SH      20260408     20260409        10   +8.03%    36.00    +2.36%    +4.33%    +7.75%   +32.67%
688378.SH      20260427     20260428        12  +10.42%    43.73    -1.33%    +6.45%   +11.32%    -4.53%
688378.SH      20260604     20260605        22  +20.00%    50.54    -1.37%   -13.73%   +14.07%   +15.93%
688378.SH      20260617     20260618        15  +13.89%    54.80    +5.20%    +6.92%    +6.92%    +6.92%
