### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
E_Q2_首次回撤3%_收盘位置>=0.6    ALL 0.255%  2047  -3.163    34.2  0.513 -1.816  -3.938    33.4  0.537 -2.157   -4.921     33.5   0.652  -2.798
E_Q2_首次回撤3%_收盘位置>=0.6  TRAIN 0.255%   869  -2.634    35.8  0.547 -1.310  -3.509    34.1  0.551 -1.722   -4.374     34.6   0.615  -2.464
E_Q2_首次回撤3%_收盘位置>=0.6  VALID 0.255%   867  -3.916    32.4  0.462 -2.417  -4.624    32.1  0.524 -2.716   -5.389     33.0   0.744  -3.073
E_Q2_首次回撤3%_收盘位置>=0.6    OOS 0.255%   311  -3.025    35.0  0.594 -2.072  -3.488    35.1  0.542 -1.924   -5.269     31.5   0.498  -2.433
 E_Q3_首次回撤2%_收盘位置<0.6    ALL 0.255% 27371  -1.633    39.2  0.698 -0.219  -2.055    39.0  0.689 -0.229   -2.607     39.4   0.775  -0.290
 E_Q3_首次回撤2%_收盘位置<0.6  TRAIN 0.255% 12184  -1.416    39.9  0.721 -0.155  -1.766    39.5  0.721 -0.142   -2.421     39.7   0.774  -0.196
 E_Q3_首次回撤2%_收盘位置<0.6  VALID 0.255% 11153  -1.945    37.9  0.663 -0.331  -2.500    37.2  0.650 -0.360   -2.772     38.8   0.813  -0.361
 E_Q3_首次回撤2%_收盘位置<0.6    OOS 0.255%  4034  -1.457    40.7  0.743 -0.265  -1.869    42.2  0.721 -0.194   -2.923     39.7   0.682  -0.173
       E_Q4_首次回撤2%_全部    ALL 0.255% 30932  -1.720    38.9  0.680 -0.314  -2.163    38.6  0.676 -0.332   -2.724     39.2   0.772  -0.392
       E_Q4_首次回撤2%_全部  TRAIN 0.255% 13778  -1.476    39.6  0.706 -0.216  -1.858    39.2  0.708 -0.202   -2.526     39.5   0.766  -0.337
       E_Q4_首次回撤2%_全部  VALID 0.255% 12557  -2.076    37.5  0.638 -0.454  -2.604    36.8  0.635 -0.505   -2.894     38.7   0.812  -0.479
       E_Q4_首次回撤2%_全部    OOS 0.255%  4597  -1.533    40.5  0.736 -0.332  -1.972    41.8  0.710 -0.332   -2.969     39.5   0.687  -0.241
     E_Q5_首次盘中回撤2%_全部    ALL 0.255% 31197  -1.585    40.3  0.794 -0.185  -2.050    39.3  0.764 -0.195   -2.662     39.6   0.830  -0.219
     E_Q5_首次盘中回撤2%_全部  TRAIN 0.255% 13873  -1.383    40.8  0.842 -0.145  -1.793    39.6  0.803 -0.152   -2.446     40.1   0.825  -0.192
     E_Q5_首次盘中回撤2%_全部  VALID 0.255% 12681  -1.934    39.0  0.736 -0.221  -2.520    37.7  0.726 -0.282   -2.918     38.7   0.865  -0.269
     E_Q5_首次盘中回撤2%_全部    OOS 0.255%  4643  -1.285    42.3  0.848 -0.097  -1.724    42.4  0.773 -0.118   -2.724     40.6   0.750  -0.115
 E_V1_回撤2%后2日_量比>=1.2    ALL 0.255% 22056  -1.290    40.5  0.791 -0.125  -1.574    41.2  0.858 -0.188   -1.971     41.8   0.897  -0.113
 E_V1_回撤2%后2日_量比>=1.2  TRAIN 0.255%  9664  -1.181    40.6  0.804 -0.132  -1.515    40.7  0.806 -0.180   -2.076     41.0   0.851  -0.102
 E_V1_回撤2%后2日_量比>=1.2  VALID 0.255%  9447  -1.400    40.1  0.800 -0.079  -1.553    41.8  0.936 -0.181   -1.526     43.6   1.048  -0.033
 E_V1_回撤2%后2日_量比>=1.2    OOS 0.255%  2945  -1.310    41.1  0.731 -0.157  -1.846    41.2  0.779 -0.200   -3.171     38.4   0.642  -0.214
 E_V2_回撤2%后2日_量比<=0.8    ALL 0.255%  1628  -0.669    45.6  0.941  0.520  -0.335    48.0  1.086  0.974   -0.804     47.3   1.044   1.051
 E_V2_回撤2%后2日_量比<=0.8  TRAIN 0.255%   797  -0.849    42.4  0.836  0.120  -0.677    45.2  0.944  0.671   -1.404     44.8   0.911   0.543
 E_V2_回撤2%后2日_量比<=0.8  VALID 0.255%   536   0.641    54.1  1.471  1.940   1.089    56.7  1.828  2.506    1.183     55.4   1.716   2.770
 E_V2_回撤2%后2日_量比<=0.8    OOS 0.255%   295  -2.053    38.7  0.582 -0.570  -2.010    39.4  0.624 -0.695   -2.749     39.5   0.650  -0.011
      E_M1_量/首板量>=1.3    ALL 0.255% 10968  -1.782    39.2  0.727 -0.596  -2.252    39.0  0.732 -0.834   -3.002     38.8   0.772  -1.131
      E_M1_量/首板量>=1.3  TRAIN 0.255%  4723  -1.606    39.7  0.740 -0.563  -1.988    38.8  0.721 -0.667   -2.867     38.8   0.759  -0.827
      E_M1_量/首板量>=1.3  VALID 0.255%  4642  -2.217    36.9  0.678 -0.882  -2.784    37.7  0.712 -1.348   -3.061     38.8   0.821  -1.610
      E_M1_量/首板量>=1.3    OOS 0.255%  1603  -0.960    44.4  0.851  0.195  -1.459    43.7  0.829  0.223   -3.228     38.4   0.670  -0.479
      E_M2_量/首板量<=0.5    ALL 0.255%  2313  -0.516    45.2  1.069  0.697  -0.479    46.2  1.257  0.990   -0.393     47.7   1.282   1.508
      E_M2_量/首板量<=0.5  TRAIN 0.255%  1252  -0.620    43.5  1.013  0.448  -0.939    42.6  1.058  0.404   -0.768     44.8   1.024   1.256
      E_M2_量/首板量<=0.5  VALID 0.255%   844  -0.132    49.2  1.248  1.275   0.679    53.3  1.757  2.243    0.819     53.9   1.971   2.461
      E_M2_量/首板量<=0.5    OOS 0.255%   217  -1.128    40.0  0.705  0.098  -1.572    38.5  0.687  0.119   -2.365     39.6   0.643   0.378
        E_M3_连续缩量<=1日    ALL 0.255% 12007  -1.917    38.5  0.697 -0.764  -2.420    39.1  0.738 -0.990   -3.226     38.2   0.763  -1.342
        E_M3_连续缩量<=1日  TRAIN 0.255%  5136  -1.605    39.6  0.731 -0.549  -2.044    39.6  0.729 -0.707   -3.018     38.4   0.741  -1.085
        E_M3_连续缩量<=1日  VALID 0.255%  4965  -2.402    37.1  0.675 -1.037  -2.784    38.3  0.747 -1.333   -3.179     38.3   0.844  -1.714
        E_M3_连续缩量<=1日    OOS 0.255%  1906  -1.850    39.5  0.679 -0.658  -2.444    39.8  0.734 -0.797   -4.081     36.9   0.620  -1.293
        E_M4_连续缩量>=3日    ALL 0.255% 12465  -1.574    35.6  0.587 -0.365  -1.730    38.1  0.695 -0.277   -1.821     41.0   0.831   0.095
        E_M4_连续缩量>=3日  TRAIN 0.255%  5704  -1.498    35.6  0.586 -0.433  -1.688    37.6  0.664 -0.334   -2.079     39.7   0.772  -0.060
        E_M4_连续缩量>=3日  VALID 0.255%  5162  -1.654    35.4  0.604 -0.270  -1.744    38.4  0.751 -0.248   -1.277     43.6   1.008   0.270
        E_M4_连续缩量>=3日    OOS 0.255%  1599  -1.612    36.7  0.538 -0.395  -1.968    38.9  0.633 -0.263   -3.072     36.8   0.593  -0.346
      E_M5_跌量/涨量<=0.5    ALL 0.255%  6496  -1.603    39.9  0.813 -0.436  -1.894    41.4  0.825 -0.531   -2.741     40.2   0.830  -0.973
      E_M5_跌量/涨量<=0.5  TRAIN 0.255%  2902  -1.488    39.7  0.800 -0.392  -1.629    41.4  0.798 -0.300   -2.554     40.7   0.843  -0.717
      E_M5_跌量/涨量<=0.5  VALID 0.255%  2571  -1.939    39.3  0.832 -0.615  -2.181    41.2  0.861 -0.811   -2.940     40.3   0.862  -1.599
      E_M5_跌量/涨量<=0.5    OOS 0.255%  1023  -1.320    41.8  0.790 -0.106  -1.936    41.9  0.799 -0.090   -2.965     38.5   0.714  -0.127
      E_M6_跌量/涨量>=1.5    ALL 0.255%  1238  -2.005    36.7  0.644 -0.846  -1.728    39.1  0.683 -0.309   -1.742     40.8   0.871   0.103
      E_M6_跌量/涨量>=1.5  TRAIN 0.255%   631  -1.663    37.2  0.664 -0.620  -1.789    38.5  0.689 -0.427   -1.523     41.4   0.896   0.394
      E_M6_跌量/涨量>=1.5  VALID 0.255%   474  -2.382    33.3  0.578 -0.887  -1.920    39.0  0.652 -0.390   -1.798     40.1   0.902  -0.205
      E_M6_跌量/涨量>=1.5    OOS 0.255%   133  -1.251    46.5  0.871  0.049  -0.881    42.4  0.787  0.925   -2.455     40.3   0.627   0.314

=== EDGE_Regime (4 rows)
                group  period   cost    N  t3_med  t3_win  t3_pf  t3_ex  t5_med  t5_win  t5_pf  t5_ex  t10_med  t10_win  t10_pf  t10_ex
E_Q1_首次回撤2%_收盘位置>=0.6    bear 0.255%  348  -0.367    48.3  1.075  0.954   0.733    53.2  1.369  2.516    2.116     57.5   1.881   4.227
E_Q1_首次回撤2%_收盘位置>=0.6 neutral 0.255% 1765  -2.882    35.0  0.542 -1.477  -3.653    32.7  0.524 -1.699   -4.778     33.5   0.624  -2.518
E_Q1_首次回撤2%_收盘位置>=0.6  strong 0.255%  610  -2.503    38.2  0.641 -1.011  -2.978    36.4  0.628 -1.299   -3.823     40.2   0.855  -1.624
E_Q1_首次回撤2%_收盘位置>=0.6    weak 0.255%  822  -2.883    34.9  0.502 -1.508  -3.640    34.8  0.597 -1.536   -3.844     35.5   0.769  -1.392

=== EDGE_逐年 (6 rows)
                group period   cost   N  t3_med  t3_win  t3_pf  t3_ex  t5_med  t5_win  t5_pf  t5_ex  t10_med  t10_win  t10_pf  t10_ex
E_Q1_首次回撤2%_收盘位置>=0.6   2021 0.255% 589     NaN     NaN    NaN    NaN  -2.324    36.8  0.726 -0.378      NaN      NaN     NaN     NaN
E_Q1_首次回撤2%_收盘位置>=0.6   2022 0.255% 607     NaN     NaN    NaN    NaN  -2.124    39.7  0.667 -0.233      NaN      NaN     NaN     NaN
E_Q1_首次回撤2%_收盘位置>=0.6   2023 0.255% 394     NaN     NaN    NaN    NaN  -4.202    31.0  0.490 -2.495      NaN      NaN     NaN     NaN
E_Q1_首次回撤2%_收盘位置>=0.6   2024 0.255% 668     NaN     NaN    NaN    NaN  -5.552    31.6  0.532 -3.558      NaN      NaN     NaN     NaN
E_Q1_首次回撤2%_收盘位置>=0.6   2025 0.255% 725     NaN     NaN    NaN    NaN  -2.537    36.1  0.596 -1.035      NaN      NaN     NaN     NaN
E_Q1_首次回撤2%_收盘位置>=0.6   2026 0.255% 549     NaN     NaN    NaN    NaN  -3.131    39.0  0.650 -1.246      NaN      NaN     NaN     NaN

=== EDGE_对照 (8 rows)
     group period   cost     N  t3_med  t3_win  t3_pf  t3_ex  t5_med  t5_win  t5_pf  t5_ex  t10_med  t10_win  t10_pf  t10_ex
 A_全部首板@T0    ALL 0.255% 31255  -0.142    49.3  1.582  0.000  -0.772    46.6  1.399  0.000   -1.351     44.9   1.311   0.000
B_首次回撤日@fd    ALL 0.255% 30932  -1.720    38.9  0.680 -0.314  -2.163    38.6  0.676 -0.332   -2.724     39.2   0.772  -0.392
 A_全部首板@T0  TRAIN 0.255% 13888   0.043    50.3  1.666  0.000  -0.490    47.7  1.456  0.000   -1.052     45.9   1.305   0.000
B_首次回撤日@fd  TRAIN 0.255% 13778  -1.476    39.6  0.706 -0.216  -1.858    39.2  0.708 -0.202   -2.526     39.5   0.766  -0.337
 A_全部首板@T0  VALID 0.255% 12699  -0.397    48.1  1.561  0.000  -1.099    45.2  1.403  0.000   -1.697     43.8   1.418   0.000
B_首次回撤日@fd  VALID 0.255% 12557  -2.076    37.5  0.638 -0.454  -2.604    36.8  0.635 -0.505   -2.894     38.7   0.812  -0.479
 A_全部首板@T0    OOS 0.255%  4668  -0.046    49.8  1.427  0.000  -0.756    47.2  1.243  0.000   -1.494     44.6   1.069   0.000
B_首次回撤日@fd    OOS 0.255%  4597  -1.533    40.5  0.736 -0.332  -1.972    41.8  0.710 -0.332   -2.969     39.5   0.687  -0.241

=== EDGE_滑点 (12 rows)
                group    period     cost    N  t3_med  t3_win  t3_pf  t3_ex  t5_med  t5_win  t5_pf  t5_ex  t10_med  t10_win  t10_pf  t10_ex
E_Q1_首次回撤2%_收盘位置>=0.6 slip=0.0% 双边0.055%  562  -1.730    40.1  0.735 -0.950  -2.931    39.5  0.678 -1.291   -3.336     38.7   0.738  -0.700
E_Q1_首次回撤2%_收盘位置>=0.6 slip=0.1% 双边0.255%  562  -1.930    39.1  0.697 -1.150  -3.131    39.0  0.650 -1.491   -3.536     37.9   0.715  -0.900
E_Q1_首次回撤2%_收盘位置>=0.6 slip=0.2% 双边0.455%  562  -2.130    38.7  0.661 -1.350  -3.331    38.4  0.622 -1.691   -3.736     37.7   0.692  -1.100
E_Q1_首次回撤2%_收盘位置>=0.6 slip=0.3% 双边0.655%  562  -2.330    38.3  0.626 -1.550  -3.531    38.1  0.596 -1.891   -3.936     37.5   0.671  -1.300
E_Q2_首次回撤3%_收盘位置>=0.6 slip=0.0% 双边0.055%  311  -2.825    35.9  0.625 -1.872  -3.288    35.4  0.565 -1.724   -5.069     32.2   0.513  -2.233
E_Q2_首次回撤3%_收盘位置>=0.6 slip=0.1% 双边0.255%  311  -3.025    35.0  0.594 -2.072  -3.488    35.1  0.542 -1.924   -5.269     31.5   0.498  -2.433
E_Q2_首次回撤3%_收盘位置>=0.6 slip=0.2% 双边0.455%  311  -3.225    34.3  0.565 -2.272  -3.688    34.4  0.520 -2.124   -5.469     31.2   0.483  -2.633
E_Q2_首次回撤3%_收盘位置>=0.6 slip=0.3% 双边0.655%  311  -3.425    33.7  0.538 -2.472  -3.888    34.4  0.499 -2.324   -5.669     31.2   0.468  -2.833
      E_M1_量/首板量>=1.3 slip=0.0% 双边0.055% 1603  -0.760    46.0  0.902  0.395  -1.259    44.7  0.869  0.423   -3.028     39.1   0.694  -0.279
      E_M1_量/首板量>=1.3 slip=0.1% 双边0.255% 1603  -0.960    44.4  0.851  0.195  -1.459    43.7  0.829  0.223   -3.228     38.4   0.670  -0.479
      E_M1_量/首板量>=1.3 slip=0.2% 双边0.455% 1603  -1.160    43.0  0.803 -0.005  -1.659    42.7  0.791  0.023   -3.428     37.6   0.647  -0.679
      E_M1_量/首板量>=1.3 slip=0.3% 双边0.655% 1603  -1.360    41.9  0.758 -0.205  -1.859    41.9  0.755 -0.177   -3.628     37.1   0.625  -0.879

