### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
     V2_vov0_kd4  1.1~1.3  2815   1.813    3.136    60.2  2.604  1.955     NaN   8.13   1.415    3.059    57.4  2.217  2.188     NaN   7.74    0.381     3.029     51.6   1.799   1.731      NaN    5.47
     V2_vov0_kd4  1.3~inf  9497   5.394    8.137    73.3  7.182  5.536     NaN  63.97   4.644    8.251    68.8  5.432  5.416     NaN  54.09    3.124     7.411     61.2   3.497   4.475      NaN   36.17
    V3_vovfd_kd4 -inf~0.5  9716  -3.569   -3.565    23.3  0.212 -3.427     NaN -73.87  -4.680   -4.690    20.1  0.171 -3.908     NaN -71.38   -4.887    -4.250     26.2   0.321  -3.537      NaN  -48.90
    V3_vovfd_kd4  0.5~0.7 10866  -0.709   -0.397    45.8  0.870 -0.568     NaN -27.69  -1.148   -0.862    43.6  0.770 -0.376     NaN -25.66   -1.914    -0.668     42.4   0.867  -0.563      NaN  -17.49
    V3_vovfd_kd4  0.7~0.9  5349   3.147    4.706    67.6  3.914  3.289     NaN  22.53   3.337    5.472    66.7  3.733  4.109     NaN  23.90    2.085     5.009     57.5   2.434   3.436      NaN   15.84
    V3_vovfd_kd4  0.9~1.1  2270   6.625    9.074    79.9 10.960  6.766     NaN  29.10   7.042   10.536    78.3 10.274  7.814     NaN  29.00    5.573     9.917     68.9   5.314   6.924      NaN   20.43
    V3_vovfd_kd4  1.1~1.3  1028  10.092   12.222    87.7 21.921 10.234     NaN  28.19   9.484   12.897    83.1 15.264 10.256     NaN  23.49    6.742    11.288     71.1   6.741   8.093      NaN   15.58
    V3_vovfd_kd4  1.3~inf  1939  13.830   16.135    91.6 36.138 13.972     NaN  47.61  12.228   15.942    83.6 18.084 13.000     NaN  36.61    9.196    14.945     74.5   9.670  10.547      NaN   24.49
      V4_run_kd4      0~1  5202   7.324    9.833    81.1 12.159  7.466     NaN  51.32   5.325    8.858    70.7  6.300  6.097     NaN  37.63    4.244     8.507     63.4   4.050   5.594      NaN   26.60
      V4_run_kd4      1~2  6805   2.614    4.580    65.0  3.590  2.756     NaN  24.47   1.416    4.113    57.6  2.597  2.189     NaN  18.24    0.607     3.781     52.1   1.984   1.958      NaN   12.43
      V4_run_kd4      2~3  6725  -1.874   -0.928    37.4  0.730 -1.733     NaN -25.69  -0.369    0.952    48.2  1.280  0.403     NaN  -3.63   -1.005     1.005     46.1   1.222   0.346      NaN   -2.54
      V4_run_kd4    3~inf 12465  -2.622   -2.010    33.9  0.494 -2.480     NaN -54.59  -3.727   -3.027    29.7  0.398 -2.955     NaN -55.04   -4.067    -2.822     32.4   0.521  -2.716      NaN  -39.46
V6_dvol_uvol_kd4 -inf~0.5  6870   4.169    7.144    72.2  7.642  4.310     NaN  44.26   7.684   12.320    84.2 25.047  8.456     NaN  68.07    6.795    12.248     73.8   9.475   8.146      NaN   49.05
V6_dvol_uvol_kd4  0.5~0.8  4431   1.850    3.758    62.0  3.377  1.992     NaN  14.49   1.546    3.404    60.6  3.124  2.319     NaN  12.90    0.960     3.163     54.2   2.059   2.310      NaN    8.46
V6_dvol_uvol_kd4  0.8~1.1  4547   0.625    2.352    53.9  2.041  0.767     NaN   4.70   0.719    2.164    54.4  1.942  1.492     NaN   5.01   -0.192     1.931     48.9   1.507   1.159      NaN    2.41
V6_dvol_uvol_kd4  1.1~1.5  2699  -1.065    0.178    43.6  1.058 -0.924     NaN  -8.74  -1.813   -0.475    38.6  0.858 -1.041     NaN -11.10   -2.224    -0.382     40.1   0.916  -0.873      NaN   -7.61
V6_dvol_uvol_kd4  1.5~inf 10017  -2.726   -1.576    34.8  0.628 -2.585     NaN -39.45  -4.658   -4.276    23.4  0.252 -3.885     NaN -65.44   -4.986    -4.078     28.3   0.379  -3.635      NaN  -47.04
     V1_vr20_kd5 -inf~0.6   111  -3.830   -3.692    18.9  0.177 -3.689     NaN  -9.44  -4.832   -4.959    20.7  0.184 -4.059     NaN  -7.25   -5.577    -4.030     26.9   0.407  -4.226      NaN   -4.36
