ts_code,circ_mv,total_mv,turnover_rate,pe_ttm
301079.SZ,338122.3457,478757.1684,11.3047,590.8442
601595.SH,1009346.4,1009346.4,1.858,166.4745
600398.SH,2881662.1776,2881662.1776,0.6028,13.2181
300558.SZ,2101157.2266,2107876.5534,2.3874,47.7807
000707.SZ,316103.8601,335627.6688,1.4445,
603138.SH,539201.1295,549541.9677,5.9502,
600732.SH,2960239.5912,2985322.3914,2.3444,
002599.SZ,272207.811,364352.9743,3.6656,375.3447
920006.BJ,95928.8038,181206.4104,2.6593,762.3098
002423.SZ,2262631.6747,2262631.6747,0.9355,22.3774
600855.SH,912365.1093,914126.8623,5.9459,
600379.SH,625401.7622,625401.7622,34.0517,149.7069
301175.SZ,384321.84,909621.84,6.2359,23.3185
920985.BJ,146285.012,206420.6254,2.1171,
600838.SH,363199.0748,363199.0748,2.7287,84.7444
300300.SZ,850842.6849,850896.8511,16.148,60.0819
002305.SZ,414450.683,414477.569,1.8392,
300769.SZ,1888181.085,2101410.225,12.4795,
688768.SH,363801.7358,366824.9445,1.2186,54.0931
688349.SH,2703697.6207,2787616.7807,0.8953,25.743
920564.BJ,99402.4402,216076.2809,3.7218,
002833.SZ,643039.3608,946462.1676,3.6466,21.3369
600320.SH,1700862.8024,2697396.9925,2.1722,31.6282
688552.SH,326905.7295,1269738.72,6.2187,
603116.SH,446555.62,446555.62,6.7924,
000060.SZ,3508481.8043,3508526.2418,8.6182,33.9862
688120.SH,8858982.3746,8858982.3746,2.7623,80.7114
300873.SZ,338970.2083,466507.3989,1.5958,22.4083
300641.SZ,868200.0261,868200.0261,1.8966,22.1033
300232.SZ,563268.368,691616.388,4.9923,
002367.SZ,485485.7716,487422.4736,1.211,16.3644
300913.SZ,1457968.0191,1953852.384,2.8779,79.0011
603858.SH,1712619.1498,1712619.1498,0.6432,45.7999
002124.SZ,605455.7703,682133.6864,15.4603,
000582.SZ,2633511.6803,3073360.1501,2.5852,28.6899
002422.SZ,4076351.9859,4993462.2119,0.9001,31.7773
300505.SZ,528839.8531,668752.6835,7.5489,15.8117
301320.SZ,113977.5314,304138.71,5.7781,
601330.SH,903043.6382,1306123.8183,6.0581,20.4381
603365.SH,527398.669,532867.489,1.0432,12.6221
603281.SH,1381706.6691,1381706.6691,1.2718,32.5091
300005.SZ,1448992.9156,1460759.7135,7.1206,169.6375
002938.SZ,19438499.4548,19511035.4017,1.6017,52.556
002659.SZ,300933.6187,300935.0332,2.0628,
002883.SZ,148869.8836,151628.6082,4.4296,
300713.SZ,159794.9044,293633.4985,5.0216,
603610.SH,665036.214,665036.214,8.2885,70.6136
301512.SZ,134240.494,288533.694,5.8149,95.0645
920748.BJ,124403.1266,267669.12,3.16,
688139.SH,1057086.3595,1057086.3595,1.4988,48.0639
002521.SZ,329051.2682,439647.9243,1.4243,24.8377
603358.SH,1613611.3027,1665239.2044,2.7462,127.3042
300731.SZ,1059619.9094,1116512.6159,11.174,495.4649
000910.SZ,355667.65,355808.375,1.4613,
002933.SZ,351281.7421,353106.15,1.9295,132.45
600867.SH,1727434.7752,1727434.7752,1.8654,13.9682
600389.SH,1163616.3,1163616.3,2.2626,20.7878
002172.SZ,280806.6479,281023.7761,1.9862,100.2646
300985.SZ,448376.0019,448376.0019,1.9043,
600495.SH,505023.7903,505023.7903,1.0704,236.2372
301263.SZ,819985.9346,1149268.7475,1.5472,447.7121
301103.SZ,231347.1376,300566.3478,1.5435,109.3231
300201.SZ,1429202.1782,1436878.0964,7.439,44.4304
605218.SH,383313.0615,437309.3125,1.4638,
002245.SZ,2896221.7258,3078366.5127,15.2853,40.2574
000703.SZ,5642035.8661,5670487.4851,1.2784,25.7559
688005.SH,2536896.5696,2537275.4185,3.9889,
920039.BJ,143975.4264,143975.52,0.4197,52.138
601398.SH,196816915.1535,260176567.675,0.1341,7.0063
002031.SZ,1462006.1201,1680338.2919,23.5331,
920261.BJ,263477.5695,448053.2992,1.6068,22.9781
600908.SH,1125613.0304,1235605.7943,0.5675,5.3121
001335.SZ,121436.3186,445637.8682,7.7458,56.7422
301252.SZ,196355.8883,688747.5408,10.2804,72.694
300180.SZ,883737.2773,908707.04,1.6135,3216.3711
605339.SH,693715.1572,693715.1572,0.3775,471.1176
601000.SH,2785186.4486,2785186.4486,0.6317,13.3401
002262.SZ,1883648.177,2164641.2084,1.1854,20.1541
600138.SH,630464.64,630464.64,0.8785,78.5014
300324.SZ,853285.4332,862067.7069,3.4396,
920592.BJ,163529.1322,262745.34,3.0153,
603843.SH,635957.5224,635957.5224,4.0393,
300850.SZ,1163737.9156,1602098.0956,5.5454,20.0948
300082.SZ,750901.8595,752868.7074,3.1204,619.8573
002708.SZ,796167.7451,866192.9671,4.863,80.5067
600733.SH,3331255.8182,4336031.8481,2.1102,
600119.SH,228659.2516,228659.2516,1.3795,
301321.SZ,434446.5105,548678.205,5.1638,
688813.SH,400023.7808,2128000.0,21.9108,120.9461
688002.SH,6519839.4959,6519839.4959,2.4417,44.7315
000860.SZ,924241.6683,924241.6683,2.5706,
300257.SZ,3245946.68,3378359.0612,3.2192,95.0288
301628.SZ,312905.855,846093.355,9.7756,72.2871
600517.SH,3328129.603,3328129.603,0.8095,14.3667
000572.SZ,853971.5948,855210.9415,3.5312,
001256.SZ,268885.0834,358670.5834,3.2571,24.8283
300493.SZ,838441.6965,848222.3328,2.9723,142.8493
002127.SZ,644298.5461,792923.1402,4.4598,
603333.SH,545079.6929,545079.6929,3.2114,
600821.SH,1762723.1579,1762723.1579,17.5142,
600653.SH,340616.5555,340616.5555,1.0772,
002344.SZ,556071.2199,556655.7606,0.9359,115.679
301162.SZ,583641.9376,902232.2418,3.0086,66.2164
920077.BJ,540575.8835,1047248.9979,4.3157,53.3585
300283.SZ,587549.6032,795165.1552,25.1603,82.4018
920834.BJ,77867.5844,148800.0062,2.9166,31.9978
600236.SH,8773086.4936,8773086.4936,0.8543,24.4009
688667.SH,837857.7663,837857.7663,3.3763,56.0116
920978.BJ,260008.426,463753.3336,2.9242,27.9784
002745.SZ,1070473.538,1493071.3974,6.4229,
603871.SH,1681282.6407,1681282.6407,0.6215,13.9296
300363.SZ,821117.6097,894505.8217,6.3314,69.6172
600620.SH,365998.9012,365998.9012,1.3219,599.68
600056.SH,1516286.3987,1516822.0645,1.8863,31.0159
002431.SZ,304606.4053,304606.4053,3.487,
301246.SZ,544587.9949,1280821.7736,14.2286,50.324
603699.SH,4700484.9136,4806753.9738,0.7823,28.5539
002293.SZ,938998.3664,947245.0584,0.9463,17.0867
600098.SH,2555775.5711,2555775.5711,1.5803,10.6378
688693.SH,544661.796,1031578.954,17.7377,
300654.SZ,400594.7675,415917.8319,3.878,165.0846
300288.SZ,303778.1589,400122.62,2.9249,
002437.SZ,674149.3862,715787.6684,3.2055,17.3913
002783.SZ,398466.7439,431445.007,2.8663,37.1716
002732.SZ,247374.5502,248613.0,0.9892,50.762
002752.SZ,715061.1583,716081.237,2.0886,19.5767
603997.SH,1681934.1502,1681934.1502,1.8359,34.9833
301526.SZ,2682390.4829,7202377.0717,13.2225,146.9918
000998.SZ,1197428.0821,1338667.1836,1.3254,360.9389
300135.SZ,362188.8,362188.8,2.122,
600410.SH,2524130.7603,2524130.7603,14.5747,
600654.SH,906115.8428,1125139.2098,5.023,154.6603
601566.SH,633250.1393,633250.1393,2.447,36.7922
688023.SH,456198.0349,456198.0349,3.4361,
603496.SH,992648.6533,992648.6533,6.339,204.0238
300177.SZ,534153.1641,655612.9471,3.5661,
603966.SH,547129.1814,548429.1059,2.3066,21.5509
002739.SZ,1906720.5028,1917495.0669,2.2464,
300572.SZ,635741.6198,803063.7637,5.1063,
688305.SH,852778.8681,857248.0731,2.8783,95.1957
001872.SZ,5421214.133,5844867.8707,0.254,12.5627
000877.SZ,3277935.9794,3277936.6709,0.2015,
600664.SH,926811.6344,926811.6344,6.1609,29.9164
603085.SH,568250.1,568250.1,4.7212,63.7831
002978.SZ,1136642.4795,1452785.0907,1.3391,22.6079
688098.SH,352743.196,352743.196,0.7007,
300432.SZ,4142208.7305,4188912.5929,4.0412,82.6872
301221.SZ,324278.8354,478857.291,4.8756,101.2779
002246.SZ,1221602.4167,1221602.4167,2.9537,39.9431
000952.SZ,256275.5561,258329.0026,2.3127,
603215.SH,343189.6205,394656.3544,3.2891,79.0095
301130.SZ,190212.9513,246542.3698,2.1338,108.1772
920344.BJ,242013.5224,259211.68,1.096,140.4434
002832.SZ,816220.7233,1196202.0481,4.2413,19.7554
605499.SH,10062251.55,11188081.1835,1.1805,23.8416
600630.SH,341588.724,341588.724,1.3769,63.6722
688646.SH,386933.8249,628347.0832,2.4347,
600807.SH,236892.5577,266275.054,2.54,
601328.SH,17546751.8299,59468826.7821,0.7009,6.1682
688712.SH,158813.8013,1784343.0,14.3165,169.7429
600559.SH,1241480.3911,1248630.2611,2.551,28.1975
300420.SZ,514602.5265,514652.8216,10.3645,117.1957
300639.SZ,412856.8412,420225.4381,4.9561,
688382.SH,1275836.7711,1275836.7711,2.6737,
301258.SZ,269777.885,277668.43,1.2104,73.8677
688100.SH,1932814.4229,1932814.4229,1.0318,28.6266
600596.SH,1643809.2057,1643809.2057,1.5573,78.2746
300961.SZ,216647.8107,252801.28,4.7039,
603296.SH,6543491.0515,12321997.8397,3.3434,28.8376
600519.SH,168075951.4467,168075951.4467,0.4412,20.3199
300296.SZ,1517109.561,1808888.8071,4.9622,73.0365
601567.SH,2633362.4156,2633362.4156,1.9639,27.662
605336.SH,324089.7992,324089.7992,2.7306,
601606.SH,2752067.92,2752067.92,2.4538,3973.6216
600084.SH,548378.693,548378.693,0.9448,
300170.SZ,2135351.2741,2237309.1602,7.8514,97.1194
002323.SZ,271422.8406,271469.4582,9.518,
920405.BJ,181632.4224,231429.0,1.5831,45.6714
600409.SH,1581291.6772,1581291.6772,3.9543,928.8384
688260.SH,609120.0,609120.0,8.1928,
300761.SZ,1442545.2982,1923208.3654,3.3762,36.5224
300385.SZ,447911.1175,513377.8812,4.4904,
